"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Performance Score","First Contentful Paint Time (ms)","Speed Index Time (ms)","Largest Contentful Paint Time (ms)","Time to Interactive (ms)","Total Blocking Time (ms)","Cumulative Layout Shift","Total Size Savings (Bytes)","Total Time Savings (ms)","Total Requests","Total Page Size (Bytes)","HTML Size (Bytes)","HTML Count","Image Size (Bytes)","Image Count","CSS Size (Bytes)","CSS Count","JavaScript Size (Bytes)","JavaScript Count","Font Size (Bytes)","Font Count","Media Size (Bytes)","Media Count","Other Size (Bytes)","Other Count","Third Party Size (Bytes)","Third Party Count","Core Web Vitals Assessment","CrUX Largest Contentful Paint Time (ms)","CrUX Interaction to Next Paint (ms)","CrUX Cumulative Layout Shift","CrUX First Contentful Paint Time (ms)","Minify CSS Savings (ms)","Minify CSS Savings (Bytes)","Minify JavaScript Savings (ms)","Minify JavaScript Savings (Bytes)","Reduce Unused CSS Savings (ms)","Reduce Unused CSS Savings (Bytes)","Reduce Unused JavaScript Savings (ms)","Reduce Unused JavaScript Savings (Bytes)","JavaScript Execution Time (ms)","JavaScript Execution Time Category","Minimize Main-Thread Work (ms)","Minimize Main-Thread Work Category","Network Payload Size (Bytes)","User Timing Marks and Measures","Number of Redirects","Server Responds Quickly","Applies Text Compression","LCP Request Discovery","LCP Breakdown","Render Blocking Requests Savings (ms)","Preconnect Candidates Savings (ms)","Maximum Critical Path Latency (ms)","Use Efficient Cache Lifetimes Savings (Bytes)","Layout Shift Culprits","DOM Size","Improve Image Delivery Savings (Bytes)","Forced Reflow Savings (ms)","Legacy JavaScript Savings (Bytes)","Duplicated JavaScript (Bytes)","Font Display Savings (ms)","3rd Parties","Target Size","Content Width","Font Display Size","Viewport","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://www.americanhomecontractors.com/door/","text/html; charset=UTF-8","200","OK","Indexable","","Entry Door Replacement in Maryland & Virginia | American Home Contractors","73","683","Premium entry door replacement in Maryland and Virginia. ProVia, Therma-Tru, and more. Expert installation, energy efficiency, and curb appeal since 1986.","154","958","","0","Entry Door Replacement by Maryland and Virginia’s Trusted Contractor","68","The Entry Door Contractor Maryland and Virginia Homeowners Trust","64","Ready for a New Entry Door?","27","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.americanhomecontractors.com/door/","","","","","","196569","35341","35341","13.538","","1235","215","5.744","47.766","Hard","4.918","1","1","","490","120","0","100.000","70","27","0","21","7","0","","","","","af8f433f512d2122e7864b3a9eff0571","0.647","","","","","en-US","1.1","96","1698.695","4017.672","2055.196","2061.215","0.000","0.000","0","0","19","163627","37432","1","56924","12","11357","1","57914","4","0","0","0","0","0","1","4485","8","","","","","","0","0","0","0","0","0","0","0","116.010","Good","319.700","Good","163627","0","Avoids redirects","Server responds quickly (observed 11 ms)","Applies text compression","1 issue found","4 resources found","904","300","451","0","","732","0","114","0","","0","1 resource found","100","","","100","","","","","","https://www.americanhomecontractors.com/door/","2026-04-11 12:36:10"
"https://www.americanhomecontractors.com/terms-of-service/","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","1","","240","120","0","100.000","0","0","0","0","0","0","","","","","","0.727","","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.americanhomecontractors.com/terms-of-service/","2026-04-11 12:36:10"
"https://www.americanhomecontractors.com/siding/","text/html; charset=UTF-8","200","OK","Indexable","","Siding Replacement in Maryland & Virginia | American Home Contractors","69","646","Expert siding replacement in Maryland and Virginia. James Hardie, CertainTeed, and more. 30,000+ homes improved since 1986. Free consultation and financing available.","166","1051","","0","Siding Replacement by Maryland and Virginia’s Preferred Contractor","66","The Siding Contractor Maryland and Virginia Homeowners Rely On","62","Ready to Transform Your Home’s Exterior?","40","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.americanhomecontractors.com/siding/","","","","","","199016","36017","36017","13.797","","1389","231","6.013","52.971","Fairly Hard","5.245","1","1","","256","120","0","100.000","74","25","0","21","7","0","","","","","eb4ef519ac4eac1a57c716c67dca1687","0.779","","","","","en-US","1.1","99","1235.000","1544.694","2050.000","2057.500","0.000","0.000","20515","160","22","156379","38130","1","48997","16","11363","1","57889","4","0","0","0","0","0","0","4452","12","","","","","","0","0","0","0","0","0","160","20515","106.595","Good","320.609","Good","156379","0","Avoids redirects","Server responds quickly (observed 18 ms)","Applies text compression","1 issue found","4 resources found","768","","167","0","","745","0","38","0","","0","1 resource found","100","","","100","","","","","","https://www.americanhomecontractors.com/siding/","2026-04-11 12:36:10"
"https://www.americanhomecontractors.com/gutter/","text/html; charset=UTF-8","200","OK","Indexable","","Gutter Replacement in Maryland & Virginia | American Home Contractors","69","648","Professional gutter replacement in Maryland and Virginia. Seamless aluminum, copper, and gutter guard systems. Protect your home from water damage. Free estimates.","163","1048","","0","Gutter Replacement by Maryland and Virginia’s Trusted Gutter Company","68","The Gutter Company Maryland and Virginia Homeowners Trust","57","Protect Your Home from Water Damage","35","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.americanhomecontractors.com/gutter/","","","","","","195164","35937","35937","13.767","","1410","233","6.052","53.273","Fairly Hard","5.436","1","1","","489","120","0","100.000","70","26","0","21","7","0","","","","","91f7c8c72dafec03461388fca99bc6f0","0.703","","","","","en-US","1.1","99","1239.000","2921.243","2040.195","2047.014","5.500","0.005","0","0","19","188628","37850","1","81490","12","11361","1","57927","4","0","0","0","0","0","1","4485","8","","","","","","0","0","0","0","0","0","0","0","133.732","Good","417.514","Good","188628","0","Avoids redirects","Server responds quickly (observed 14 ms)","Applies text compression","1 issue found","4 resources found","754","","181","0","1 resource found","722","4370","42","0","","0","1 resource found","100","","","100","","","","","","https://www.americanhomecontractors.com/gutter/","2026-04-11 12:36:10"
"https://www.americanhomecontractors.com/referrals/","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","1","","240","120","0","100.000","0","0","0","0","0","0","","","","","","0.457","","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.americanhomecontractors.com/referrals/","2026-04-11 12:36:11"
"https://www.americanhomecontractors.com/roof-repair-state-question/","text/html; charset=UTF-8","200","OK","Non-Indexable","noindex","Roof Repair State Question - American Home Contractors","54","512","","0","0","","0","","0","","0","American Home Contractors","25","noindex, nofollow","","","","","","","","","116725","24172","24172","9.260","","620","100","6.200","62.044","Normal","4.471","1","1","","2","2","0","1.670","59","22","0","31","12","0","","","","","7e01ec1bd9a2c201e621eaf29df22007","0.404","","","","","en-US","1.1","82","1387.016","4797.751","2558.012","8159.351","380.500","0.089","538606","150","42","1213172","31467","2","131905","16","34478","2","913509","12","34723","4","0","0","67090","6","1075736","31","","","","","","0","0","0","0","150","27180","0","511426","1218.926","Good","1986.040","Good","1213173","0","Avoids redirects","Server responds quickly (observed 7 ms)","Applies text compression","","2 resources found","1214","335","996","450960","1 resource found","529","107852","0","0","","20","5 resources found","100","","","100","","","","","","https://www.americanhomecontractors.com/roof-repair-state-question/","2026-04-11 12:36:11"
"https://www.americanhomecontractors.com/solar-panels/","text/html; charset=UTF-8","200","OK","Indexable","","Solar Panel Company in Maryland & Virginia | American Home Contractors","70","659","Trusted solar panel company in Maryland and Virginia. Tesla Premier Certified. Custom solar designs, expert installation, and flexible financing since 1986.","156","948","","0","Trusted Solar Panel Company Serving Maryland and Virginia","57","The Solar Panel Installer Maryland and Virginia Homeowners Trust","64","Start Your Journey to Solar","27","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.americanhomecontractors.com/solar-panels/","","","","","","193411","36192","36192","13.864","","1374","227","6.053","49.532","Hard","5.359","1","1","","496","120","0","100.000","74","26","0","21","7","0","","","","","b6fac92f961d2102783083711a22bf0","0.323","","","","","en-US","1.1","98","1228.000","2953.134","2046.000","2088.700","7.000","0.000","0","0","24","187188","38364","1","79540","17","11362","1","57922","4","0","0","0","0","0","1","4485","12","","","","","","0","0","0","0","0","0","0","0","130.578","Good","417.246","Good","187188","0","Avoids redirects","Server responds quickly (observed 15 ms)","Applies text compression","1 issue found","4 resources found","754","","169","0","","727","9831","66","0","","0","1 resource found","100","","","100","","","","","","https://www.americanhomecontractors.com/solar-panels/","2026-04-11 12:36:11"
"https://www.americanhomecontractors.com/solar-roof/","text/html; charset=UTF-8","200","OK","Indexable","","Tesla Solar Roof Contractor | #1 Installer | American Home","58","521","#1 Tesla Solar Roof installer on the East Coast. Tesla Premier Certified. Beautiful solar integration with full roof protection. Serving Maryland, Virginia, and DC.","164","971","","0","America’s #1 Tesla Solar Roof Contractor","40","Tesla Solar Roof Premier Certified Contractor","45","The Most Experienced Tesla Solar Roof Contractor in the Country","63","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.americanhomecontractors.com/solar-roof/","","","","","","190034","35794","35794","13.712","","1343","212","6.335","49.788","Hard","5.332","1","1","","251","120","0","100.000","74","26","0","21","7","0","","","","","151d6b5287295835608805b4b107fe2f","0.430","","","","","en-US","1.1","98","1224.000","3150.303","2048.000","2089.600","6.000","0.000","20523","170","24","997524","38297","1","889943","17","11364","1","57920","4","0","0","0","0","0","1","4485","12","","","","","","0","0","0","0","0","0","170","20523","122.454","Good","440.317","Good","997524","0","Avoids redirects","Server responds quickly (observed 14 ms)","Applies text compression","1 issue found","4 resources found","754","","1063","0","","709","797908","78","0","","0","1 resource found","100","","","100","","","","","","https://www.americanhomecontractors.com/solar-roof/","2026-04-11 12:36:11"
"https://www.americanhomecontractors.com/roof-tune-up/","text/html; charset=UTF-8","200","OK","Indexable","","Affordable Roof Repair (Roof Tune Up)","37","341","Get a quick roof repair service with American Home Contractors Roof Tune Up Service. For only $199.00 we inspect and make minor roof repairs.","141","890","","0","Roof Tune Up","12","Pay with:","9","Our Premium Roofing Tune-Up Includes:","37","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.americanhomecontractors.com/roof-tune-up/","","","","","","185393","34571","34571","13.243","","718","116","6.190","86.142","Easy","2.886","1","1","","250","120","0","100.000","64","21","0","22","8","0","","","","","7909df8ffae2e9844d5b57c5f65f3e8c","0.503","","","","","en-US","1.1","77","2171.892","4494.485","5024.465","5039.555","19.500","0.000","64849","600","27","586708","135849","2","23785","10","39953","1","105135","9","0","0","0","0","281986","5","406429","18","","","","","","0","0","0","0","450","35472","150","29377","152.994","Good","517.099","Good","586711","0","Avoids redirects","Server responds quickly (observed 9 ms)","Applies text compression","1 issue found","4 resources found","1668","300","360","1528","","996","0","181","0","","0","2 resources found","100","","","100","","","","","","https://www.americanhomecontractors.com/roof-tune-up/","2026-04-11 12:36:11"
"https://www.americanhomecontractors.com/contact-us/","text/html; charset=UTF-8","200","OK","Indexable","","Contact American Home Contractors | Schedule a Free Estimate","60","573","Contact American Home Contractors to schedule a free estimate for roofing, solar, windows, siding, gutters, or doors in Maryland and Virginia. Response within 1 hour.","166","1028","","0","Contact American Home Contractors","33","What Sets Us Apart","18","What Happens After You Schedule a Free Estimate","47","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.americanhomecontractors.com/contact-us/","","","","","","139969","26992","26992","10.340","","283","71","3.986","59.896","Fairly Hard","2.245","1","1","","301","120","0","100.000","59","21","0","21","7","0","","","","","88909a371941929e6bb9723f5296a88c","0.382","","","","","en-US","1.1","76","1522.007","6531.438","2197.910","14655.300","615.500","0.040","639933","300","108","2339044","134211","3","108200","30","40956","5","1723690","57","65549","3","0","0","266438","10","2143895","84","","","","","","0","0","0","3195","300","21852","0","614886","1523.318","Poor","2433.802","Poor","2339046","13","Avoids redirects","Server responds quickly (observed 34 ms)","Applies text compression","","2 resources found","4208","","1005","144590","1 resource found","563","48614","0","0","","0","10 resources found","100","","","100","","","","","","https://www.americanhomecontractors.com/contact-us/","2026-04-11 12:36:12"
