Rank,Company,Website,City,State,Peak Number of Employees,Total 2024 Revenue in Dollars,% of Commercial Work,% of Residential Work,Involved with Private Equity?,Platform Name
72,Absolute Construction,https://www.absoluteroofingcompany.net/,Plano,Texas,50," $ 33,900,000 ",10.00%,90.00%,Yes,Ashco Exteriors
73,McKinnis Roofing & Sheet Metal,https://www.mckinnisinc.com/,Blair,Neb.,1122," $ 33,769,487 ",60.00%,40.00%,No,
74,"Executive Exteriors, LLC",https://executiveexteriorsbh.com/,Dallas,Texas,35," $ 32,400,000 ",30.00%,70.00%,No,
75,Crosby Roofing & Seamless Gutters,https://www.crosbyroofing.com/,Augusta,Ga.,35," $ 32,000,000 ",20.00%,80.00%,No,
76,Antis Roofing & Waterproofing,https://antisroofing.com/,Irvine,Calif.,170," $ 31,800,000 ",0.00%,100.00%,No,
77,Coleman Roofing & Construction,https://colemanroof.com/,Gonzales,La.,35," $ 31,027,750 ",95.00%,5.00%,No,
78,Ridgeline Construction HSV,,Athens,Ala.,50," $ 30,593,325 ",20.00%,80.00%,No,
79,Radco Roofing,https://radcoroofing.com/,Mt. Holly,N.C.,102," $ 30,283,000 ",100.00%,0.00%,No,
80,Five Guys Roofing,https://fiveguysroofing.com/,Gilbert,Ariz.,95," $ 29,471,000 ",78.00%,22.00%,No,
81,"All-South Subcontractors, Inc.",https://allsouthsub.com/,Birmingham,Ala.,90," $ 29,835,000 ",100.00%,0.00%,No,
82,"S&S Roofing & Construction, Inc.",https://sandsroofingpros.com/,Leesburg,Ga.,150," $ 28,000,000 ",30.00%,70.00%,No,
83,"Eldridge Roofing & Restoration, Inc.",,Spring,Texas,74," $ 27,611,749 ",5.00%,95.00%,No,
84,Stonewater Roofing,,Tyler,Texas,80," $ 27,430,000 ",20.00%,80.00%,No,
85,PMR Roofing,https://www.pmrroofing.com/,Grand Prairie,Texas,25," $ 27,000,000 ",60.00%,40.00%,No,
86,Wegner Roofing & Solar,,Billings,Mont.,45," $ 26,371,724 ",25.00%,75.00%,No,
87,"Fraser Roofing, LLC",https://www.fraserroofingllc.com/,Lilburn,Ga.,61," $ 26,322,173 ",0.00%,100.00%,No,
88,"Perry Roofing, LLC",https://perryverroneroofing.com/,Gainesville,Fla.,120," $ 25,598,516 ",85.00%,15.00%,No,
89,Emerson Enterprises,https://www.emersonpros.com/,Lenexa,Kan.,47," $ 25,507,629 ",5.00%,95.00%,No,
90,Batterbee Roofing,,Oxford,Fla.,100," $ 25,000,000 ",0.00%,100.00%,Yes,Canopy Services
